ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
AARD,4.15,4.09,1.467,-67.0635,17.68,4.03,-76.5271,2.9777,2026-03-23
ABBV,204.96,205.02,-0.0293,,244.805,164.475,-16.2762,24.6147,2026-03-23
ABCL,3.47,3.405,1.909,,,,,,2026-03-23
ABEO,4.405,4.47,-1.4541,,,,,,2026-03-23
ABOS,2.785,2.675,4.1121,,,,,,2026-03-23
ABSI,2.955,2.98,-0.8389,,,,,,2026-03-23
ABT,105.58,105.555,0.0237,,,,,,2026-03-23
ABUS,4.38,4.26,2.8169,,,,,,2026-03-23
ABVX,122.865,120.44,2.0135,,,,,,2026-03-23
ACAD,21.19,20.735,2.1944,,,,,,2026-03-23
ACB,3.34,3.27,2.1407,,,,,,2026-03-23
ACHV,3.98,3.995,-0.3755,,,,,,2026-03-23
ACLX,114.54,114.77,-0.2004,,,,,,2026-03-23
ACRS,3.64,3.69,-1.355,,,,,,2026-03-23
ADCT,4.06,3.88,4.6392,,,,,,2026-03-23
ADMA,14.28,14.3,-0.1399,,,,,,2026-03-23
ADPT,13.9,13.58,2.3564,,,,,,2026-03-23
AGEN,3.85,3.695,4.1949,,,,,,2026-03-23
AGIO,28.39,27.88,1.8293,,,,,,2026-03-23
AGMB,11.99,12.685,-5.4789,,,,,,2026-03-23
AKBA,1.435,1.41,1.773,,,,,,2026-03-23
AKTS,19.09,17.645,8.1893,,,,,,2026-03-23
ALDX,2.205,1.81,21.8232,,,,,,2026-03-23
ALEC,2.135,2.05,4.1463,,,,,,2026-03-23
ALKS,28.21,28.165,0.1598,,,,,,2026-03-23
ALLO,2.51,2.085,20.3837,,,,,,2026-03-23
ALMS,23.76,25.11,-5.3763,,,,,,2026-03-23
ALNY,307.805,312.21,-1.4109,,,,,,2026-03-23
ALT,3.505,3.36,4.3155,,,,,,2026-03-23
ALVO,3.445,3.54,-2.6836,,,,,,2026-03-23
ALXO,2.17,2.17,0.0,,,,,,2026-03-23
AMGN,351.78,347.73,1.1647,,,,,,2026-03-23
AMLX,14.39,13.82,4.1245,,,,,,2026-03-23
AMPH,19.585,19.515,0.3587,,,,,,2026-03-23
AMRN,14.465,15.07,-4.0146,,,,,,2026-03-23
AMRX,12.035,11.825,1.7759,,,,,,2026-03-23
ANAB,63.63,62.41,1.9548,,,,,,2026-03-23
ANIP,74.96,74.765,0.2608,,,,,,2026-03-23
ANL,7.405,7.39,0.203,,,,,,2026-03-23
ANNX,5.46,5.12,6.6406,,,,,,2026-03-23
ANRO,20.295,21.395,-5.1414,,,,,,2026-03-23
APGE,80.26,66.125,21.3762,,,,,,2026-03-23
APLS,17.865,17.2,3.8663,,,,,,2026-03-23
AQST,3.98,3.99,-0.2506,,,,,,2026-03-23
ARCT,6.91,6.65,3.9098,,,,,,2026-03-23
ARDX,5.405,5.33,1.4071,,,,,,2026-03-23
ARGX,688.92,663.46,3.8375,,,,,,2026-03-23
ARQT,22.715,22.24,2.1358,,,,,,2026-03-23
ARVN,10.7,10.94,-2.1938,,,,,,2026-03-23
ARWR,57.19,56.28,1.6169,,,,,,2026-03-23
ASMB,29.1,28.315,2.7724,-14.8998,39.22,7.78,-25.8032,274.036,2026-03-23
ASND,221.7,221.975,-0.1239,,248.5,124.52,-10.7847,78.0437,2026-03-23
ATAI,3.54,3.485,1.5782,,,,,,2026-03-23
AUPH,14.91,14.03,6.2723,,,,,,2026-03-23
AURA,6.695,6.545,2.2918,,,,,,2026-03-23
AUTL,1.43,1.375,4.0,,,,,,2026-03-23
AVBP,22.05,22.025,0.1135,,,,,,2026-03-23
AVIR,5.62,5.65,-0.531,,,,,,2026-03-23
AVTX,13.955,13.42,3.9866,,,,,,2026-03-23
AVXL,4.425,4.08,8.4559,,,,,,2026-03-23
AXSM,156.1,156.88,-0.4972,,,,,,2026-03-23
AZN,186.01,183.55,1.3402,,,,,,2026-03-23
BBIO,70.855,68.55,3.3625,,,,,,2026-03-23
BBOT,8.81,8.72,1.0321,,,,,,2026-03-23
BCAX,18.72,18.435,1.546,,,,,,2026-03-23
BCRX,9.765,9.72,0.463,,,,,,2026-03-23
BCYC,4.355,4.36,-0.1147,,,,,,2026-03-23
BDTX,2.18,2.09,4.3062,,,,,,2026-03-23
BEAM,25.53,24.67,3.486,,,,,,2026-03-23
BHC,5.105,5.02,1.6932,,,,,,2026-03-23
BHVN,9.08,8.925,1.7367,,,,,,2026-03-23
BIIB,184.6,181.65,1.624,,,,,,2026-03-23
BIOA,19.24,19.28,-0.2075,,,,,,2026-03-23
BLTE,154.12,154.66,-0.3492,,,,,,2026-03-23
BMRN,55.1,54.17,1.7168,,,,,,2026-03-23
